5,Moteur,45W,d0
4,Moteur,249W,d100
7,Batterie,31%,d30
7,Capteur,536m,jaune,d50
8,Moteur,236W,d25
3,Capteur,808m,jaune,d58
8,Moteur,78W,d25
3,Capteur,859m,rouge,d46
8,Capteur,981m,noir,d75
4,Capteur,772m,rouge,d88
5,Batterie,45%,d95
8,Batterie,68%,d6
3,Batterie,58%,d36
6,Moteur,175W,d9
3,Moteur,55W,d78
8,Batterie,0%,d19
6,Batterie,61%,d73
7,Moteur,203W,d85
7,Moteur,297W,d96
6,Batterie,7%,d77
8,Moteur,281W,d28
3,Moteur,220W,d23
3,Moteur,84W,d70
7,Batterie,100%,d87
8,Moteur,33W,d28
3,Capteur,46m,rouge,d2
3,Capteur,808m,rouge,d73
4,Capteur,526m,noir,d99
3,Capteur,580m,noir,d9
3,Batterie,55%,d67
4,Batterie,13%,d36
6,Capteur,407m,rouge,d20
7,Capteur,966m,jaune,d70
4,Moteur,34W,d77
8,Moteur,281W,d36
5,Batterie,55%,d48
3,Capteur,438m,noir,d65
4,Capteur,867m,jaune,d50
4,Moteur,258W,d25
4,Batterie,97%,d24
6,Batterie,6%,d23
7,Batterie,31%,d93
3,Moteur,179W,d32
6,Moteur,174W,d3
6,Moteur,70W,d39
8,Moteur,131W,d12
4,Moteur,55W,d5
5,Batterie,56%,d18
8,Batterie,49%,d73
6,Capteur,115m,rouge,d19
7,Moteur,77W,d53
8,Capteur,354m,rouge,d43
8,Moteur,179W,d60
3,Capteur,423m,rouge,d59
6,Capteur,888m,rouge,d83
8,Capteur,691m,rouge,d35
8,Moteur,134W,d62
6,Batterie,68%,d96
6,Capteur,404m,rouge,d34
7,Moteur,121W,d35
6,Moteur,167W,d61
6,Moteur,247W,d43
7,Moteur,42W,d96
5,Batterie,45%,d66
8,Capteur,72m,jaune,d90
7,Moteur,257W,d22
7,Capteur,48m,noir,d24
5,Capteur,899m,noir,d53
4,Moteur,201W,d20
3,Capteur,6m,jaune,d83
7,Moteur,81W,d91
6,Capteur,815m,jaune,d81
8,Batterie,50%,d13
5,Batterie,54%,d19
5,Capteur,142m,noir,d16
4,Capteur,364m,noir,d81
5,Batterie,23%,d10
6,Moteur,270W,d77
8,Batterie,26%,d6
7,Batterie,10%,d81
4,Moteur,163W,d21
7,Batterie,27%,d37
5,Moteur,153W,d58
5,Capteur,546m,jaune,d41
4,Batterie,83%,d93
7,Batterie,83%,d18
6,Batterie,44%,d85
4,Capteur,26m,rouge,d14
6,Batterie,26%,d94
6,Batterie,37%,d42
8,Batterie,30%,d16
3,Capteur,450m,rouge,d42
8,Moteur,180W,d74
7,Capteur,311m,noir,d44
3,Capteur,675m,noir,d68
7,Batterie,72%,d93
3,Capteur,611m,noir,d66
6,Batterie,99%,d75
8,Capteur,569m,rouge,d76
7,Batterie,19%,d96
8,Moteur,253W,d64
5,Capteur,440m,jaune,d66
5,Moteur,73W,d47
6,Moteur,286W,d68
3,Capteur,953m,noir,d40
5,Moteur,207W,d86
6,Batterie,16%,d57
3,Batterie,56%,d19
3,Moteur,140W,d34
4,Capteur,890m,rouge,d10
3,Moteur,262W,d69
3,Moteur,207W,d91
8,Batterie,23%,d62
4,Batterie,62%,d4
6,Capteur,657m,jaune,d6
4,Moteur,161W,d32
7,Moteur,286W,d19
3,Moteur,106W,d80
7,Batterie,46%,d69
6,Moteur,289W,d73
4,Capteur,233m,rouge,d57
6,Batterie,88%,d95
8,Batterie,32%,d12
8,Batterie,83%,d77
8,Batterie,1%,d67
8,Batterie,38%,d30
4,Moteur,140W,d22
6,Capteur,492m,noir,d18
5,Capteur,471m,jaune,d25
7,Capteur,699m,rouge,d59
8,Moteur,273W,d12
7,Moteur,91W,d88
3,Batterie,26%,d34
3,Batterie,3%,d48
4,Capteur,418m,rouge,d1
3,Moteur,94W,d88
6,Moteur,31W,d67
3,Moteur,47W,d49
5,Capteur,970m,noir,d51
4,Capteur,210m,noir,d60
3,Capteur,634m,rouge,d98
6,Moteur,245W,d19
6,Moteur,47W,d76
4,Capteur,434m,noir,d86
4,Capteur,43m,noir,d72
7,Batterie,55%,d99
5,Batterie,46%,d86
8,Batterie,75%,d8
5,Moteur,119W,d15
7,Batterie,2%,d17
7,Batterie,76%,d87
7,Batterie,85%,d45
3,Capteur,128m,rouge,d21
8,Batterie,3%,d5
3,Capteur,912m,jaune,d85
6,Batterie,55%,d61
7,Batterie,71%,d75
4,Moteur,289W,d70
8,Batterie,49%,d84
3,Moteur,238W,d48
3,Batterie,45%,d51
5,Capteur,730m,jaune,d36
3,Batterie,34%,d87
4,Batterie,7%,d87
5,Moteur,173W,d83
6,Capteur,174m,noir,d92
7,Capteur,276m,rouge,d82
7,Moteur,66W,d1
4,Batterie,55%,d77
6,Moteur,295W,d69
6,Moteur,128W,d80
7,Batterie,29%,d39
4,Capteur,335m,rouge,d19
8,Capteur,504m,noir,d83
4,Capteur,502m,jaune,d47
4,Batterie,91%,d56
5,Batterie,45%,d63
4,Moteur,38W,d19
6,Moteur,160W,d28
4,Capteur,610m,noir,d88
8,Batterie,9%,d92
8,Capteur,111m,rouge,d13
3,Moteur,140W,d36
3,Batterie,91%,d70
3,Batterie,81%,d64
4,Moteur,58W,d99
4,Moteur,259W,d62
8,Batterie,48%,d98
6,Batterie,87%,d74
5,Moteur,182W,d8
3,Moteur,201W,d0
7,Moteur,97W,d35
5,Moteur,91W,d41
8,Batterie,18%,d70
8,Batterie,76%,d5
6,Capteur,524m,rouge,d3
6,Batterie,40%,d91
5,Batterie,22%,d10
7,Batterie,96%,d5
6,Batterie,33%,d71
4,Capteur,353m,jaune,d84
6,Capteur,504m,noir,d70
6,Capteur,138m,jaune,d2
7,Moteur,241W,d75
8,Batterie,80%,d49
8,Moteur,119W,d9
7,Batterie,27%,d72
7,Moteur,191W,d75
4,Batterie,97%,d84
5,Batterie,14%,d94
5,Moteur,184W,d86
4,Moteur,103W,d63
3,Batterie,6%,d27
3,Moteur,224W,d16
5,Capteur,662m,rouge,d31
8,Batterie,46%,d79
5,Batterie,30%,d90
3,Capteur,937m,rouge,d74
6,Batterie,70%,d56
4,Moteur,126W,d37
6,Capteur,572m,rouge,d61
8,Batterie,82%,d24
3,Moteur,269W,d73
8,Batterie,67%,d99
6,Capteur,821m,jaune,d14
3,Capteur,924m,noir,d17
7,Capteur,450m,noir,d100
4,Capteur,174m,rouge,d5
4,Batterie,36%,d30
6,Capteur,365m,jaune,d44
3,Moteur,127W,d92
7,Moteur,182W,d6
8,Moteur,236W,d22
8,Moteur,283W,d1
8,Moteur,50W,d39
6,Moteur,110W,d6
6,Batterie,5%,d63
3,Batterie,43%,d62
3,Batterie,11%,d25
3,Capteur,543m,jaune,d1
7,Moteur,199W,d58
7,Moteur,102W,d13
6,Batterie,94%,d13
5,Batterie,55%,d60
7,Batterie,7%,d54
7,Moteur,98W,d8
7,Batterie,45%,d79
8,Capteur,634m,noir,d91
3,Moteur,290W,d2
7,Batterie,27%,d6
5,Batterie,93%,d83
7,Moteur,122W,d47
3,Capteur,800m,jaune,d23
5,Moteur,234W,d76
7,Moteur,204W,d98
5,Batterie,73%,d60
8,Moteur,196W,d67
4,Moteur,183W,d80
3,Capteur,595m,noir,d38
8,Batterie,43%,d24
4,Batterie,66%,d69
3,Moteur,232W,d45
7,Capteur,113m,jaune,d14
6,Capteur,410m,noir,d94
4,Moteur,76W,d43
6,Batterie,69%,d92
8,Capteur,22m,rouge,d10
3,Moteur,146W,d61
8,Moteur,190W,d75
5,Capteur,807m,noir,d13
3,Batterie,18%,d39
3,Capteur,477m,rouge,d36
7,Moteur,180W,d81
7,Capteur,732m,jaune,d73
4,Batterie,71%,d3
5,Moteur,103W,d5
4,Capteur,889m,rouge,d23
4,Moteur,131W,d75
5,Capteur,848m,noir,d8
7,Moteur,111W,d37
7,Moteur,74W,d50
4,Capteur,262m,jaune,d33
7,Capteur,620m,jaune,d79
7,Capteur,688m,jaune,d11
6,Moteur,174W,d78
3,Batterie,6%,d12
6,Moteur,283W,d84
8,Capteur,785m,noir,d99
3,Moteur,134W,d55
3,Batterie,21%,d5
7,Capteur,185m,rouge,d14
4,Batterie,71%,d88
8,Batterie,34%,d39
8,Moteur,183W,d97
6,Batterie,96%,d30
4,Capteur,845m,jaune,d20
4,Moteur,221W,d16
8,Moteur,270W,d28
4,Moteur,251W,d91
6,Capteur,729m,noir,d99
6,Moteur,278W,d92
5,Moteur,249W,d71
3,Moteur,34W,d14
5,Moteur,205W,d46
3,Batterie,18%,d84
7,Batterie,80%,d26
4,Capteur,718m,jaune,d26
6,Moteur,204W,d80
7,Capteur,916m,noir,d14
6,Capteur,883m,jaune,d73
6,Moteur,215W,d26
8,Moteur,267W,d35
4,Moteur,248W,d51
6,Moteur,167W,d45
7,Capteur,422m,noir,d85
4,Batterie,10%,d33
6,Moteur,153W,d29
5,Capteur,823m,rouge,d86
3,Capteur,852m,noir,d99
4,Batterie,5%,d70
8,Capteur,104m,noir,d23
3,Moteur,279W,d5
6,Batterie,92%,d58
7,Moteur,248W,d90
5,Batterie,92%,d87
8,Moteur,254W,d50
7,Batterie,0%,d74
6,Moteur,76W,d64
3,Capteur,659m,noir,d49
3,Capteur,407m,rouge,d26
4,Batterie,83%,d93
7,Capteur,200m,jaune,d100
5,Moteur,297W,d63
4,Moteur,59W,d98
5,Capteur,328m,rouge,d34
5,Capteur,779m,noir,d44
3,Moteur,208W,d96
8,Moteur,228W,d1
6,Batterie,55%,d13
6,Moteur,90W,d29
5,Capteur,206m,noir,d62
5,Batterie,72%,d86
3,Capteur,866m,rouge,d30
4,Batterie,31%,d74
7,Batterie,69%,d73
5,Moteur,111W,d60
5,Batterie,30%,d63
7,Capteur,952m,jaune,d59
7,Capteur,587m,noir,d8
5,Batterie,31%,d46
3,Batterie,6%,d13
8,Moteur,37W,d4
8,Batterie,20%,d2
7,Capteur,952m,rouge,d72
4,Moteur,233W,d12
7,Moteur,104W,d99
5,Batterie,67%,d1
6,Moteur,259W,d32
4,Batterie,74%,d71
7,Moteur,57W,d94
8,Moteur,135W,d50
7,Capteur,278m,jaune,d97
8,Moteur,168W,d91
8,Capteur,944m,rouge,d30
4,Batterie,38%,d54
4,Batterie,0%,d91
6,Capteur,600m,noir,d93
6,Batterie,58%,d24
4,Capteur,24m,noir,d65
6,Batterie,61%,d2
8,Batterie,81%,d9
8,Capteur,705m,jaune,d74
8,Capteur,966m,noir,d70
4,Capteur,498m,noir,d32
3,Batterie,49%,d38
5,Batterie,45%,d16
3,Batterie,72%,d18
5,Moteur,170W,d33
5,Batterie,93%,d34
5,Batterie,54%,d58
7,Capteur,961m,jaune,d81
5,Moteur,108W,d22
5,Capteur,737m,jaune,d1
3,Capteur,353m,noir,d93
6,Batterie,50%,d58
6,Capteur,183m,jaune,d49
3,Moteur,266W,d90
8,Batterie,58%,d4
8,Batterie,50%,d21
3,Capteur,588m,noir,d11
5,Batterie,93%,d61
4,Moteur,77W,d75
8,Moteur,280W,d57
8,Batterie,72%,d61
6,Batterie,8%,d9
8,Capteur,406m,rouge,d66
8,Capteur,478m,jaune,d14
8,Moteur,32W,d59
6,Moteur,289W,d95
3,Moteur,49W,d41
3,Batterie,78%,d77
7,Capteur,128m,rouge,d73
8,Moteur,77W,d66
7,Moteur,290W,d13
7,Moteur,60W,d77
5,Capteur,302m,rouge,d63
7,Batterie,23%,d10
4,Moteur,297W,d29
5,Batterie,90%,d92
3,Moteur,188W,d77
5,Moteur,84W,d0
3,Capteur,97m,rouge,d40
7,Moteur,175W,d56
6,Batterie,20%,d16
8,Moteur,296W,d62
7,Capteur,694m,noir,d47
5,Moteur,32W,d63
7,Batterie,65%,d63
7,Batterie,3%,d5
5,Moteur,230W,d53
7,Capteur,887m,jaune,d83
7,Capteur,183m,rouge,d77
7,Capteur,428m,jaune,d26
3,Moteur,105W,d21
7,Batterie,46%,d29
3,Moteur,199W,d19
4,Moteur,277W,d92
7,Moteur,67W,d65
4,Capteur,88m,noir,d84
8,Moteur,182W,d13
8,Moteur,176W,d76
3,Capteur,721m,rouge,d59
3,Capteur,23m,rouge,d66
7,Capteur,834m,rouge,d69
6,Capteur,768m,rouge,d96
5,Moteur,98W,d35
3,Moteur,91W,d87
8,Capteur,882m,rouge,d9
7,Capteur,24m,rouge,d8
4,Moteur,145W,d53
6,Capteur,535m,rouge,d9
4,Capteur,13m,noir,d100
4,Capteur,765m,noir,d50
7,Batterie,75%,d20
7,Capteur,431m,noir,d19
4,Capteur,556m,noir,d38
3,Moteur,57W,d9
8,Batterie,39%,d43
8,Batterie,100%,d98
5,Moteur,233W,d78
4,Moteur,166W,d58
5,Moteur,225W,d49
4,Moteur,201W,d9
7,Moteur,35W,d80
6,Capteur,284m,jaune,d58
8,Capteur,437m,rouge,d64
3,Batterie,16%,d88
8,Capteur,489m,noir,d75
4,Moteur,97W,d99
8,Capteur,862m,noir,d9
6,Moteur,156W,d10
3,Batterie,52%,d60
7,Capteur,382m,jaune,d24
5,Capteur,324m,noir,d75
5,Batterie,83%,d31
4,Batterie,55%,d77
4,Batterie,0%,d99
7,Batterie,100%,d68
4,Capteur,835m,noir,d99
4,Capteur,43m,jaune,d49
